what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1305818159095
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1305818159096
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1305818159097
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1305818159098
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1305818159099
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1305818159100
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1305818159102
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1305818159103
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1305818159104
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1305818159106
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1305818159107
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1305818159108
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1305818159109
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1305818159110
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1305818159111
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1305818159112
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1305818159112
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1305818159113
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1305818159114
os,sysinfo,,,"linux",1305818159118
arch,sysinfo,,,"x86_64",1305818159118
ws,sysinfo,,,"gtk",1305818159118
locale,sysinfo,,,"pt_BR",1305818159118
processors,sysinfo,,,"2",1305818159118
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1305818159118
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1305818159118
java.specification.name,sysinfo,,,"Java Platform API Specification",1305818159118
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305818159118
java.specification.version,sysinfo,,,"1.6",1305818159118
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1305818159118
java.version,sysinfo,,,"1.6.0_20",1305818159118
java.vm.info,sysinfo,,,"mixed mode",1305818159118
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1305818159118
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1305818159118
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305818159118
java.vm.specification.version,sysinfo,,,"1.0",1305818159118
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1305818159118
java.vm.version,sysinfo,,,"16.3-b01",1305818159118
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1305818162932
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1305818162953
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1305818169914
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1305818240833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1305818242404
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1305818321253
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1305818324059
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1305818327945
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1305818333869
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1305818336900
